OBJECTID,Data_Numbe,Codes,Site_Name,Latitude,Longitude,Elevation,minD,maxD,No__Temps,Gradient,No__Cond_,Conductivi,No_Heat_Pr,Heat_Prod_,Heat Flow,No__sites,Year_of_Pu,Reference,Comments,Comments2
4397,4824,<null>,AINHICE,43.2133,-1.1317,220,0,3540,4,0,0,0,<null>,<null>,55,1,1991,Lucazeau_etal1991,Mottaghy_etal2005,conventional
4400,4825,<null>,Aire sur Adour,43.6783,-0.3083,160,0,4184,5,0,0,0,<null>,<null>,46,1,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4401,4826,<null>,ALBARON,43.5767,4.43,524,0,270,1,0,0,0,<null>,<null>,144,1,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4403,4827,<null>,AMOU,43.6017,-0.7533,4,0,5542,8,0,0,0,<null>,<null>,73,1,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4406,4828,<null>,ANDOINS,43.3,-0.2317,274,0,5563,4,0,0,0,<null>,<null>,77,1,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4408,4829,<null>,ARBUS2,43.3283,-0.515,259,0,6200,11,0,0,0,<null>,<null>,81,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4410,4830,<null>,ARCACHON,44.6517,-1.16,20,0,3805,4,0,0,0,<null>,<null>,82,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4412,4831,<null>,ARN101,43.2867,-0.2483,262,0,3657,4,0,0,0,<null>,<null>,87,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4414,4832,<null>,ARNAUDG,43.1583,0.8917,378,0,5085,6,0,0,0,<null>,<null>,99,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4416,4833,<null>,ARROUTIS,43.195,-0.2383,256,0,5247,4,0,0,0,<null>,<null>,79,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4418,4834,<null>,ARTAGAN2,43.3967,0.0917,213,0,3478,4,0,0,0,<null>,<null>,78,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4420,4835,<null>,ASSAT,43.265,-0.2983,205,0,5420,16,0,0,0,<null>,<null>,92,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4427,4839,<null>,Audignon 10,43.7167,-0.4233,75,0,3340,7,0,0,0,<null>,<null>,82,1,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4429,4840,<null>,Audignon 3,43.745,-0.6317,34,0,3052,4,0,0,0,<null>,<null>,83,1,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4432,4841,<null>,Audignon 4,43.675,-0.6333,119,0,5300,10,0,0,0,<null>,<null>,77,1,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4435,4843,<null>,BASSOUES,43.6167,0.0967,138,0,3117,8,0,0,0,<null>,<null>,76,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4437,4844,<null>,BAYSERE1,43.3017,-0.5517,155,0,5659,10,0,0,0,<null>,<null>,92,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4438,4845,<null>,BAYSERE2,43.3017,-0.5517,152,0,4897,4,0,0,0,<null>,<null>,92,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4440,4846,<null>,BAZILLAC,43.365,0.1317,225,0,4278,10,0,0,0,<null>,<null>,75,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4442,4847,<null>,BEAUDUC,43.3717,4.6183,1,0,1420,1,0,0,0,<null>,<null>,66,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4444,4848,<null>,BERENX1,43.4883,-0.9283,126,0,5782,6,0,0,0,<null>,<null>,73,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4446,4849,<null>,BERENX2,43.4917,-0.9283,127,0,6237,6,0,0,0,<null>,<null>,75,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4448,4850,<null>,BISCAROS,44.4667,-1.25,15,0,4540,4,0,0,0,<null>,<null>,83,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4450,4851,<null>,BLAJAN1,43.2483,0.605,343,0,4410,5,0,0,0,<null>,<null>,80,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4452,4852,<null>,BONNEFON,43.2433,0.38,339,0,4797,6,0,0,0,<null>,<null>,83,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4454,4853,<null>,BOOS1,43.93,-1.075,80,0,2831,5,0,0,0,<null>,<null>,78,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4457,4854,<null>,BORDES1,43.2333,-0.29,218,0,5811,11,0,0,0,<null>,<null>,93,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4459,4855,<null>,BORY1,43.265,-0.4533,237,0,5825,11,0,0,0,<null>,<null>,86,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4461,4856,<null>,BRASSEMP,43.6217,-0.7083,47,0,5513,7,0,0,0,<null>,<null>,83,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4463,4857,<null>,BRESSE2,46.27,4.9967,190,0,1554,4,0,0,0,<null>,<null>,91,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4465,4858,<null>,BRESSEN,46.745,5.2467,210,0,2150,4,0,0,0,<null>,<null>,94,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4467,4859,<null>,BRESSES,46.02,5.14,291,0,2603,5,33,0,0,<null>,<null>,86,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4469,4860,<null>,BRIENON,48.02,3.64,118,0,1090,4,0,0,0,<null>,<null>,91,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4471,4861,<null>,BUEZ,47.2683,6.4133,684,0,1200,3,0,0,0,<null>,<null>,78,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4473,4862,<null>,CAGNOT.1,43.575,-1.0517,54,0,2790,4,0,0,0,<null>,<null>,74,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4475,4863,<null>,CAGNOTTE,43.5733,-1.0383,58,0,3575,4,0,0,0,<null>,<null>,66,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4477,4864,<null>,CALAVANT,43.2083,0.1833,311,0,5682,4,0,0,0,<null>,<null>,87,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4479,4865,<null>,CAME1,43.4533,-1.0833,86,0,5660,7,0,0,0,<null>,<null>,83,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4481,4866,<null>,CAMPAGN,43.76,4.3817,84,0,1016,1,0,0,0,<null>,<null>,111,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4484,4868,<null>,CANTAURE,44.22,-0.9633,61,0,2765,3,0,0,0,<null>,<null>,77,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4486,4869,<null>,CANTELOU,43.2933,-0.5817,266,0,5925,12,0,0,0,<null>,<null>,91,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4488,4870,<null>,CARCANS,43.8167,-1.2283,28,0,1932,4,0,0,0,<null>,<null>,92,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4491,4872,<null>,CARDESSE,43.2333,-0.55,172,0,5095,11,0,0,0,<null>,<null>,97,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4495,4874,<null>,CAZAUX1,44.54,-1.1817,30,0,3374,10,0,0,0,<null>,<null>,76,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4497,4875,<null>,CAZERES,43.1317,1.2033,493,0,3439,3,0,0,0,<null>,<null>,85,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4499,4876,<null>,CHARLAS,43.2233,0.7017,357,0,3569,7,0,0,0,<null>,<null>,66,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4502,4878,<null>,CHERAUTE,43.225,-0.8283,195,0,6088,8,0,0,0,<null>,<null>,69,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4504,4879,<null>,CLARAC,43.125,0.615,502,0,5232,7,0,0,0,<null>,<null>,66,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4506,4880,<null>,CLARENS,43.1633,0.4367,554,0,3500,6,0,0,0,<null>,<null>,79,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4508,4881,<null>,CLAVEYS,45.1917,4.9417,307,0,1708,1,0,0,0,<null>,<null>,91,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4510,4882,<null>,CLEDES,43.6183,-0.3967,94,0,3541,6,0,0,0,<null>,<null>,78,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4512,4883,<null>,CLERM1,43.6217,-0.9483,26,0,3368,7,0,0,0,<null>,<null>,78,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4514,4884,<null>,CLERM2,43.625,-0.9533,25,0,2363,9,0,0,0,<null>,<null>,68,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
4516,4885,<null>,CLERM3,43.6883,-0.9617,21,0,2359,5,0,0,0,<null>,<null>,74,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole
