Number,Site,Country,Latitude,Longitude,Elevation (m),Period,d18O,Error,d2H,Error,d-excess (‰) Avg,Error,Air Temperature (°C) Avg,Error,Precipitation (mm) Avg,Error,
1,Basel,CH,47.54,7.58,316,2004-2016,-9.21,±0.93,-66.3,±7.2,7.3,±0.8,11,±0.7,844.3,±141.3,
2,Belp,CH,46.89,7.49,520,2011-2016,-9.95,n.a,-72.1,n.a,7.51,n.a,n.a,n.a,n.a,n.a,
3,Bern,CH,46.95,7.44,511,1996-2012,-9.7,±0.91,-69.7,±5.3,9.5,±1.4,9.1,±0.9,1058.9,230.3,
4,Buchs,CH,47.37,8.08,397,1994-2016,-9.51,n.a,-68.8,n.a,7.28,n.a,n.a,n.a,n.a,n.a,
5,Grimsel,CH,46.57,8.33,1950,1970-2008,-13.61,±0.68,-94.9,±5.7,12.5,±1.0,1.7,±0.7,2053,±352.6,
6,Guttannen,CH,46.66,8.29,1055,1970-2008,-12.46,±0.85,-85.3,±2.4,10.2,±1.1,7.2,±1.4,1698.6,±246.8,
7,La Brevine,CH,46.98,6.61,1042,1994-2016,-9.72,n.a,-67.87,n.a,9.94,n.a,n.a,n.a,n.a,n.a,
8,Locarno,CH,46.17,8.79,379,1966-2008,-8.68,±1.06,-60.4,±8.5,9.1,±1.4,12.1,±0.6,1846.6,±398.3,
9,Meiringen,CH,46.73,8.19,632,1970-2008,-11.39,±1.07,-79.3,±6.5,8.7,±1.3,8.4,±0.7,1372.6,±212.6,
10,Nyon,CH,46.40,6.23,436,1992-2016,-8.48,n.a,-61.05,n.a,6.82,n.a,n.a,n.a,n.a,n.a,
11,Pontresina,CH,46.49,9.90,1724,1994-2016,-13.75,n.a,-102.1,n.a,7.97,n.a,n.a,n.a,n.a,n.a,
12,Sevelen,CH,47.12,9.49,450,2012-2016,-11.37,n.a,-84.24,n.a,6.77,n.a,n.a,n.a,n.a,n.a,
13,Sion,CH,46.22,7.34,482,2009-2016,-10.21,±1.30,-76.8,±10.2,5.2,±1.5,11,±0.6,534.9,±49.7,
14,St. Gallen,CH,47.43,9.40,779,2004-2016,-11.19,n.a,-79.36,n.a,10.2,n.a,n.a,n.a,n.a,n.a,
15,Ljubljana,SI,46.10,14.60,282,1981-2010,-8.7,±0.75,-60.3,±5.6,9.4,±1.7,10.6,±0.8,1345,±149.7,
16,Graz,AT,47.08,15.45,366,1973-2002,-9.91,±0.67,-70.5,±5.3,8.7,±1.1,n.a,n.a,813.3,±114.3,
17,Klagenfurt,AT,46.65,14.32,450,1973-2002,-10.57,±0.81,-75.6,±5.6,9.7,±1.0,n.a,n.a,890.9,±111.9,
18,Petzenkirche,AT,48.15,15.15,252,1965-1978,-9.73,±0.88,-72.8,±6.4,8.8,±2.5,8.7,±0.4,725.8,±118.9,
19,Podersdorf,AT,47.85,16.84,121,1965-1968,-9.41,n.a,-68.57,n.a,5.17,n.a,n.a,n.a,550,n.a,
20,Vienna,AT,48.25,16.36,198,1960-2018,-9.69,±0.94,-70.2,±6.7,6.8,±2.2,10.4,±0.8,639.8,±108.7,
21,Villacher Alpe,AT,46.60,13.67,2156,1970-2002,-11.16,±0.93,-77.9,±7.3,11.4,±1.1,n.a,n.a,1282.7,±211.7,
22,Garmisch-Partenkirchen,DE,47.48,11.06,719,1978-2016,-11.2,±0.82,-82.3,±7.0,7.4,±1.6,7.2,±0.8,1364.7,±160.4,
23,Carpentras,FR,44.95,5.78,99,1997-1998,-5.3,n.a,-36.8,n.a,5.6,n.a,n.a,n.a,434,n.a,
24,Draix,FR, 44.13,6.33,851,2004-2013,-8.05,±1.21,-54.1,±9.2,8,±1.0,10,±0.6,815.7,±116.9,
25,Thonon-Les-Bains,FR,46.37,6.47,385,1963-2012,-9.37,±0.81,-63.5,±5.3,7.5,±1.3,10.7,±0.7,994.6,±158.4,
