,OBJECTID,Data_Numbe,Codes,Site_Name,Latitude,Longitude,Elevation,minD,maxD,No__Temps,Gradient,No__Cond_,Conductivi,No_Heat_Pr,Heat_Prod_,Heat Flow,No__sites,Year_of_Pu,Reference,Comments,Comments2,geometry
2,4401,4826,<null>,ALBARON,43.5767,4.43,524,0,270,1,0,0,0.0,<null>,<null>,144.0,1,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole,POINT (4.43 43.5767)
38,4481,4866,<null>,CAMPAGN,43.76,4.3817,84,0,1016,1,0,0,0.0,<null>,<null>,111.0,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole,POINT (4.3817 43.76)
69,4549,4902,<null>,GALLICI,43.6367,4.2867,1,0,2026,3,0,0,0.0,<null>,<null>,95.0,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole,POINT (4.2867 43.6367)
70,4551,4903,<null>,GALLICI,43.6367,4.2767,4,0,2000,1,0,0,0.0,<null>,<null>,121.0,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole,POINT (4.2767 43.6367)
82,4577,4917,<null>,GREOUX,43.7417,5.8767,329,0,1788,2,0,0,0.0,<null>,<null>,97.0,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole,POINT (5.8767 43.7417)
83,4579,4918,<null>,GREOUX,43.7367,5.86,289,0,1037,3,0,0,0.0,<null>,<null>,81.0,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole,POINT (5.86 43.7367)
88,4584,4923,<null>,ISCLES1,43.6067,4.3583,2,0,1787,2,0,0,0.0,<null>,<null>,89.0,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole,POINT (4.3583 43.6067)
89,4585,4924,<null>,ISCLES2,43.6117,4.3983,1,0,690,1,0,0,0.0,<null>,<null>,91.0,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole,POINT (4.3983 43.6117)
90,4586,4925,<null>,ISTRES,43.5317,4.9617,0,0,3454,3,0,0,0.0,<null>,<null>,111.0,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole,POINT (4.9617 43.5317)
123,4652,4963,<null>,MILHAUD,43.7817,4.3333,27,0,900,2,0,0,0.0,<null>,<null>,109.0,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole,POINT (4.3333 43.7817)
124,4654,4964,<null>,MILHAUD,43.7817,4.3317,21,0,780,1,0,0,0.0,<null>,<null>,124.0,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole,POINT (4.3317 43.7817)
149,4710,4994,<null>,PTDEM,43.51,5.635,575,0,1938,5,0,0,0.0,<null>,<null>,57.0,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole,POINT (5.635 43.51)
178,4770,5025,<null>,STECECI,43.615,4.5683,3,0,2825,3,0,0,0.0,<null>,<null>,79.0,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole,POINT (4.5683 43.615)
179,4772,5026,<null>,STEMARI,43.46,4.4367,1,0,2726,3,0,0,0.0,<null>,<null>,71.0,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole,POINT (4.4367 43.46)
180,4774,5027,<null>,STEMARI,43.46,4.4367,1,0,710,1,0,0,0.0,<null>,<null>,129.0,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole,POINT (4.4367 43.46)
182,4778,5029,<null>,STVERAN,43.7067,4.2833,27,0,2480,1,0,0,0.0,<null>,<null>,121.0,<null>,1991,Lucazeau_etal1991,Lucazeau_etal1991,borehole,POINT (4.2833 43.7067)
271,13296,Austria,<null>,Traunsee,47.8717,13.8017,-137,0,0,0,0,0,0.0,<null>,<null>,138.0,1,1973,Haenel&Zoth1973,Haenel&Zoth1973,lake (oceanic),POINT (13.8017 47.8717)
272,13297,Austria,<null>,Traunsee,47.8717,13.8017,-189,0,0,0,0,2,0.98,<null>,<null>,128.0,1,1973,Haenel&Zoth1973,Haenel&Zoth1973,lake (oceanic),POINT (13.8017 47.8717)
273,13298,Austria,<null>,Klopeiner See,46.6033,14.5833,-44,0,0,0,0,0,0.0,<null>,<null>,120.0,1,1973,Haenel&Zoth1973,Haenel&Zoth1973,lake (oceanic),POINT (14.5833 46.6033)
274,13299,Austria,<null>,Laengsee,46.79,14.425,-24,0,0,0,0,0,0.0,<null>,<null>,119.0,1,1973,Haenel&Zoth1973,Haenel&Zoth1973,lake (oceanic),POINT (14.425 46.79)
275,13300,Austria,<null>,Fuschlsee,47.8033,13.2767,-64,0,0,0,0,3,0.86,<null>,<null>,115.0,1,1973,Haenel&Zoth1973,Haenel&Zoth1973,lake (oceanic),POINT (13.2767 47.8033)
276,13301,Austria,<null>,Dornbirn,47.435,9.74,730,0,2820,2,0,1,0.0,<null>,<null>,115.0,1,1983,Bodmer1983,Bodmer1983,borehole,POINT (9.74 47.435)
277,13302,Austria,<null>,Klopeiner See,46.6033,14.5833,-44,0,0,0,0,2,0.68,<null>,<null>,114.0,1,1973,Haenel&Zoth1973,Haenel&Zoth1973,lake (oceanic),POINT (14.5833 46.6033)
278,13303,Austria,<null>,Laengsee,46.79,14.425,-22,0,0,0,0,2,0.84,<null>,<null>,108.0,1,1973,Haenel&Zoth1973,Haenel&Zoth1973,lake (oceanic),POINT (14.425 46.79)
279,13304,Austria,<null>,Woerther See,46.6167,14.22,-64,0,0,0,0,2,0.71,<null>,<null>,105.0,1,1973,Haenel&Zoth1973,Haenel&Zoth1973,lake (oceanic),POINT (14.22 46.6167)
280,13305,Austria,<null>,Plansee,47.4717,10.7983,-74,0,0,0,0,0,0.0,<null>,<null>,103.0,1,1973,Haenel&Zoth1973,Haenel&Zoth1973,lake (oceanic),POINT (10.7983 47.4717)
281,13306,Austria,<null>,Woerther See,46.6267,14.14,-84,0,0,0,0,2,0.74,<null>,<null>,99.0,1,1973,Haenel&Zoth1973,Haenel&Zoth1973,lake (oceanic),POINT (14.14 46.6267)
282,13307,Austria,<null>,Achensee,47.45,11.7067,-121,0,0,0,0,2,1.19,<null>,<null>,97.0,1,1973,Haenel&Zoth1973,Haenel&Zoth1973,lake (oceanic),POINT (11.7067 47.45)
