,longitude,latitude,heat_flow,geometry
20,-87.134,30.4588,55.0,POINT (-87.134 30.4588)
46,-82.0232,37.3801,81.0,POINT (-82.0232 37.3801)
105,-117.6482134,43.96616289999999,41.8,POINT (-117.6482134 43.96616289999999)
126,-96.0556,31.6768,71.0,POINT (-96.0556 31.6768)
129,-79.1599,42.1865,48.3,POINT (-79.15989999999999 42.1865)
207,-98.2936,32.7172,54.0,POINT (-98.2936 32.7172)
208,-106.2095774,35.5707571,84.0,POINT (-106.2095774 35.5707571)
213,-94.6716,32.267,79.0,POINT (-94.6716 32.267)
215,-82.3446,37.6408,59.0,POINT (-82.3446 37.6408)
239,-76.04159,42.60733,56.78,POINT (-76.04159 42.60733)
286,-87.5072,37.3944,32.0,POINT (-87.5072 37.3944)
290,-96.2599,31.8324,56.0,POINT (-96.2599 31.8324)
338,-89.4017,32.8147,64.0,POINT (-89.40170000000001 32.8147)
381,-122.8265754,38.77517879999999,203.0,POINT (-122.8265754 38.77517879999999)
440,-75.115949,31.4498843,48.7,POINT (-75.115949 31.4498843)
444,-114.1271483,46.5723836,94.0,POINT (-114.1271483 46.5723836)
457,-82.7652,36.9939,63.0,POINT (-82.76519999999999 36.9939)
531,-99.1425,27.0715,76.0,POINT (-99.1425 27.0715)
552,-81.0187,38.9779,63.0,POINT (-81.0187 38.9779)
568,-89.7235,30.9714,56.0,POINT (-89.7235 30.9714)
576,-97.718,26.5589,63.0,POINT (-97.718 26.5589)
585,-77.8091798,41.4678889,63.4,POINT (-77.8091798 41.4678889)
598,-122.43498490000002,45.5278085,48.0,POINT (-122.4349849 45.5278085)
629,-97.3753,34.1321,47.0,POINT (-97.3753 34.1321)
647,-76.19137629999999,32.5024589,66.4,POINT (-76.19137629999999 32.5024589)
663,-87.5778,37.4008,39.0,POINT (-87.5778 37.4008)
677,-94.3148,32.2719,69.0,POINT (-94.31480000000001 32.2719)
678,-107.0372902,34.0005886,26.24,POINT (-107.0372902 34.0005886)
783,-121.11695049999999,45.7441211,55.0,POINT (-121.1169505 45.7441211)
784,-121.11695049999999,45.7441211,56.0,POINT (-121.1169505 45.7441211)
801,-84.3129,36.116,55.0,POINT (-84.3129 36.116)
849,-97.3331,26.0735,48.0,POINT (-97.3331 26.0735)
877,-101.6692,30.2748,53.0,POINT (-101.6692 30.2748)
909,-94.7321,32.0956,68.0,POINT (-94.7321 32.0956)
912,-87.5405,37.4848,38.0,POINT (-87.54049999999999 37.4848)
922,-94.787,32.4192,75.0,POINT (-94.78700000000001 32.4192)
924,-79.4374,42.2508,50.74,POINT (-79.4374 42.2508)
957,-97.2788,28.6565,58.0,POINT (-97.2788 28.6565)
979,-127.3153787,47.7672486,111.0,POINT (-127.3153787 47.7672486)
980,-99.0855,27.022,70.0,POINT (-99.0855 27.022)
997,-79.88854350000001,39.900332,46.8,POINT (-79.88854350000001 39.900332)
1006,-100.9834,32.8061,50.0,POINT (-100.9834 32.8061)
1013,-104.2106,41.34,40.0,POINT (-104.2106 41.34)
1040,-86.9812,30.6845,52.0,POINT (-86.9812 30.6845)
1065,-93.7667,30.543,60.0,POINT (-93.7667 30.543)
1066,-99.1684,33.1701,57.0,POINT (-99.16840000000001 33.1701)
1113,-79.4905,42.1094,53.81,POINT (-79.4905 42.1094)
1119,-98.9223,37.6019,52.0,POINT (-98.92230000000001 37.6019)
1137,-94.8766,32.139,73.0,POINT (-94.8766 32.139)
1156,-77.0154,42.079,51.8,POINT (-77.0154 42.079)
1164,-97.2716,37.8333,47.0,POINT (-97.27160000000001 37.8333)
1208,-83.9233,42.0426,49.0,POINT (-83.9233 42.0426)
1246,-80.7436,37.7944,68.0,POINT (-80.7436 37.7944)
1267,-78.9539,41.0427,62.0,POINT (-78.9539 41.0427)
1280,-79.3551,42.3499,59.73,POINT (-79.35509999999999 42.3499)
1285,-96.7852,28.8292,46.0,POINT (-96.7852 28.8292)
1320,-82.6483,28.9736,39.0,POINT (-82.64830000000001 28.9736)
