,spring number,spring location,spring name,long,lat,type,well_depth,flow_rate_mean,flow_rate_min,flow_rate_max,temp_mean,temp_min,temp_max,reference,reference_DOI,reference_link,EC,pH,sample_temperature,TDS,TDS_min,TDS_max,Na,Ca,Mg,K,NH4,Cl,F,SO4,HCO3,CO3,NO3,Si,Li,SiO2,reference_hydrochemistry,doi_hydrochemistry,reference_link_hydrochemistry,delta_18O,delta_2H,3H,delta_14C,delta_13C,4He,3He,reference_isotope_data,DOI_isotope_data,reference_link_isotope_data,temperature,flow_rate,log_flow_rate,log_temperature,geometry,recharge,lithology,gw_lvl_depth,gw_lvl_elev,surface_temp,elevation,contributing_area,log_contrib_area,geometry_ws,watershed_area,mean_recharge_ws,min_recharge_ws,max_recharge_ws,mean_gw_lvl_depth_ws,min_gw_lvl_depth_ws,max_gw_lvl_depth_ws,mean_gw_lvl_elev_ws,min_gw_lvl_elev_ws,max_gw_lvl_elev_ws,mean_surface_temp_ws,min_surface_temp_ws,max_surface_temp_ws,mean_elevation_ws,min_elevation_ws,max_elevation_ws,ws_relief
15,76,Bormio - Central Italian Alps,Bocca D Adda,10.353541,46.504537,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.35,-102.0,6.5,,,,,,,,,,,,POINT (10.353541 46.504537),0.5121655595808787,6.0,68.44983673095703,1492.5501708984375,4.204166697338224,1517.0,,,,242100000.0,0.4833225272786505,0.415067697221737,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.251359785681,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.6208333438262335,6.879166623887915,2304.906896551724,1178.0,3317.0,2139.0
27,92,Dolomiti Bellunesi National Park,La Varetta,12.17039,46.25332,spring,,8e-05,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,8e-05,-4.096910013008056,0.6812412373755872,POINT (12.17039 46.25332),0.5953886363507805,6.0,17.869638442993164,1653.13037109375,4.166666746139526,1715.0,4240.269037504096,3.6273934126768563,,140800000.0,0.5386365921130382,0.5384361727297892,0.5388370114962872,78.98507615673442,-0.0,551.0527954101561,1099.0547132532304,328.15899658203125,2285.863525390625,6.863865547972607,0.5625000117967526,10.525000150936343,1179.9796488427776,328.0,2467.0,2139.0
29,94,Dolomiti Bellunesi National Park,Pian Regina,11.93642,46.16959,spring,,0.0004,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,0.0004,-3.397940008672037,0.5314789170422551,POINT (11.93642 46.16959),0.5177999684781862,6.0,8.888537406921387,2042.1114501953125,2.3458333462476735,2012.0,24378.217011289336,4.387001938752634,,139800000.0,0.5163996199819483,0.4985839371561148,0.5342153028077816,68.18158213711092,-0.0,482.5442199707031,886.5332360450258,209.9179992675781,2195.054443359375,7.916860869450304,1.3875000113621354,10.916666574776173,951.039231385108,206.0,2350.0,2144.0
32,97,Dolomiti Bellunesi National Park,Monsampiano,11.81231,46.09254,spring,,0.00015,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,0.00015,-3.823908740944319,0.7708520116421442,POINT (11.81231 46.09254),0.5906709161362284,6.0,15.024349212646484,1972.9757080078125,2.9541666864727936,1965.0,8014.005549764134,3.903849638849252,,197800000.0,0.5425152436922385,0.3447164928671345,0.6559511506759899,73.19819185762348,-0.0,392.0378112792969,841.1133942105878,266.544677734375,2031.3466796875,8.296444620313437,2.4916666535039744,10.862499962250393,914.72582480091,255.0,2202.0,1947.0
57,174,Acqui Terme,2,8.46889,44.72889,spring or shallow well,,,,,14.6,,,,,,,6.9,,,,,19.4,623.0,65.3,4.64,,26.3,,1420.0,425.0,,,,0.055,18.8,,,,,,,,,,,,,,14.6,,,1.1643528557844371,POINT (8.46889 44.72889),0.29146294813996604,6.0,66.46348571777344,244.53651428222656,12.241666797548532,337.0,,,,143600000.0,0.34261718011150066,0.32311289232463675,0.36212146789836464,22.38298662218376,-0.0,90.1981430053711,173.99838802256482,111.0,280.29019165039057,12.613794325334384,12.133333378781874,12.874999925494196,194.6836,107.0,374.0,267.0
59,183,Acqui Terme,11,8.516666667,44.6,spring or shallow well,,,,,10.9,,,,,,,7.52,,,,,4.48,59.8,35.4,1.82,,3.89,,19.2,342.0,,3.39,,,12.1,,,,-8.64,-58.4,,,,,,,,,10.9,,,1.0374264979406236,POINT (8.516666667000001 44.6),0.4393065748677452,8.0,56.29193878173828,371.70806884765625,11.937500091890492,347.0,,,,144800000.0,0.3653847615038556,0.29146294813996604,0.4393065748677452,36.540654839226534,-0.0,118.7523193359375,280.04232437458444,135.0,643.22705078125,12.349857554237685,11.012499943375587,12.916666659216087,318.42738425009895,131.0,733.0,602.0
60,184,Acqui Terme,12,8.5,44.6333333,spring or shallow well,,,,,12.5,,,,,,,7.29,,,,,8.16,93.3,37.4,1.18,,8.12,,88.7,378.0,,0.42,,0.01,18.1,,,,-8.92,-58.9,,,,,,,,,12.5,,,1.0969100130080565,POINT (8.5 44.6333333),0.4393065748677452,6.0,52.74053192138672,204.25946044921875,12.66249989469846,310.0,,,,144800000.0,0.3653847615038556,0.29146294813996604,0.4393065748677452,36.540654839226534,-0.0,118.7523193359375,280.04232437458444,135.0,643.22705078125,12.349857554237685,11.012499943375587,12.916666659216087,318.42738425009895,131.0,733.0,602.0
61,185,Acqui Terme,13,8.5,44.6333333,spring or shallow well,,,,,9.6,,,,,,,7.32,,,,,3.41,68.6,33.4,0.42,,5.05,,35.4,331.0,,12.8,,,14.2,,,,,,,,,,,,,,9.6,,,0.9822712330395684,POINT (8.5 44.6333333),0.4393065748677452,6.0,52.74053192138672,204.25946044921875,12.66249989469846,310.0,,,,144800000.0,0.3653847615038556,0.29146294813996604,0.4393065748677452,36.540654839226534,-0.0,118.7523193359375,280.04232437458444,135.0,643.22705078125,12.349857554237685,11.012499943375587,12.916666659216087,318.42738425009895,131.0,733.0,602.0
62,186,Acqui Terme,14,8.5,44.6333333,spring or shallow well,,,,,11.3,,,,,,,7.45,,,,,4.22,77.1,27.9,0.56,,5.63,,67.1,297.0,,2.98,,,20.4,,,,,,,,,,,,,,11.3,,,1.0530784434834195,POINT (8.5 44.6333333),0.4393065748677452,6.0,52.74053192138672,204.25946044921875,12.66249989469846,310.0,,,,144800000.0,0.3653847615038556,0.29146294813996604,0.4393065748677452,36.540654839226534,-0.0,118.7523193359375,280.04232437458444,135.0,643.22705078125,12.349857554237685,11.012499943375587,12.916666659216087,318.42738425009895,131.0,733.0,602.0
63,187,Acqui Terme,15,8.5,44.6833333,spring or shallow well,,,,,11.4,,,,,,,7.11,,,,,229.0,102.0,12.5,4.5,,390.0,2.2,122.0,233.0,,15.4,,0.43,24.8,,,,,,,,,,,,,,11.4,,,1.0569048513364727,POINT (8.5 44.6833333),0.36212146789836464,1.0,68.37938690185547,150.62060546875,12.774999904135864,165.0,,,,144800000.0,0.3653847615038556,0.29146294813996604,0.4393065748677452,36.540654839226534,-0.0,118.7523193359375,280.04232437458444,135.0,643.22705078125,12.349857554237685,11.012499943375587,12.916666659216087,318.42738425009895,131.0,733.0,602.0
