Name,"Discharge (L/s)",Temperature,"Air Temperature","Delta T",Precip,Source,State,"Log Discharge",Latitude,Longitude,"Approx Heat Flow (W)","Corrected Heat Flow","Log approx heat flow","Crustal Heat Flow (mW/m2)","Heat Flow Area (m2)","Heat Flow Area (km2)","Precip Area (m2)",hfa/pa
"Twin Lakes",4.5,21,5.4,15.6,2187,"Motyka et al 1983",Alaska,0.65321251377534,56.7,-132.28,207108,293716.8,5.31619687479279,66.3,4430117.64705882,4.43011764705882,64888.8888888889,68.2723609991942
"Upper Klawasi",3.5,17,0,17,366,"Motyka et al 1983",Alaska,0.54406804435028,62.08,-145,102508,248948,5.01075776022375,77.2,3224715.02590674,3.22471502590674,301573.770491803,10.692955891515
"Battleship Mountain",1.16666666666667,19,0,19,413,"Motyka et al 1983",Alaska,0.06694678963061,64.81,-162.91,43932,92745.3333333333,4.64278097492916,65.9,1407364.69398078,1.40736469398078,89084.7457627119,15.7980435587645
"Lower Klawasi",2,20,0,20,379,"Motyka et al 1983",Alaska,0.30102999566398,62.06,-145.22,83680,167360,4.9226216715232,77.2,2167875.64766839,2.16787564766839,166416.886543536,13.0267768655873
"Barnes Lake",0.5,26,4.1,21.9,1961,"Motyka et al 1983",Alaska,-0.30102999566398,56.68,-131.88,33472,45814.8,4.52468166285116,66.3,691022.624434389,0.69102262443439,8040.79551249363,85.9395843807608
"Summer Bay",1.06666666666667,35,3.2,31.8,953,"Motyka et al 1983",Alaska,0.02802872360024,53.89,-166.45,111573.333333333,141921.28,5.0475604081315,55.6,2552541.00719424,2.55254100719424,35297.3767051417,72.3153176089265
"North Peril Strait",0.16666666666667,41,5.5,35.5,2242,"Motyka et al 1983",Alaska,-0.77815125038364,57.76,-135.81,21617.3333333333,24755.3333333333,4.33480211930985,79.7,310606.440819741,0.31060644081974,2344.33541480821,132.492321217249
Kenmore,1.33333333333333,43,4,39,952,"Motyka et al 1983",Alaska,0.1249387366083,54.9,-163.24,184096,217568,5.2650443523454,71.9,3025980.52851182,3.02598052851182,44168.0672268908,68.5105941577068
"Little Melozitna",22,39,0,39,415,"Motyka et al 1983",Alaska,1.34242268082221,65.44,-153.31,2669392,3589872,6.42641235458038,84.1,42685755.0535077,42.6857550535077,1671787.95180723,25.5329959803597
"Fish Bay",2,46,5.7,40.3,2399,"Motyka et al 1983",Alaska,0.30102999566398,57.35,-135.4,301248,337230.4,5.47892417229049,86.3,3907652.37543453,3.90765237543453,26290.9545644018,148.631057341886
Kwiniuk,1.41666666666667,41,0,41,432,"Motyka et al 1983",Alaska,0.15126767533065,64.7,-162.47,183747.333333333,243020.666666667,5.26422104502414,65.9,3687718.76580678,3.68771876580678,103416.666666667,35.6588438273016
Hutlinana,6.66666666666667,41,0,41,368,"Motyka et al 1983",Alaska,0.82390874094432,65.21,-149.99,864693.333333333,1143626.66666667,5.93686211063781,98.7,11586896.3188112,11.5868963188112,571304.347826087,20.2814775747837
"Akun Strait",0.66666666666667,43,0,43,,"Motyka et al 1983",Alaska,-0.17609125905568,54.14,-165.64,92048,119941.333333333,4.96401435668142,64.3,1865339.55417315,1.86533955417315,#DIV/0!,#DIV/0!
Hawk,6.66666666666667,43,0,43,301,"Motyka et al 1983",Alaska,0.82390874094432,66.23,-157.59,920480,1199413.33333333,5.96401435668142,85.4,14044652.6151444,14.0446526151444,698471.760797342,20.1076885329075
"Neka Bay",2.83333333333333,47,3.3,43.7,1955,"Motyka et al 1983",Alaska,0.45229767099463,58.09,-135.85,438622.666666667,518048.933333333,5.64209107092084,79.7,6499986.61647846,6.49998661647846,45704.347826087,142.218124218992
"White Sulfur",1.41666666666667,44,0,44,,"Motyka et al 1983",Alaska,0.15126767533065,57.81,-136.34,201529.333333333,260802.666666667,5.30433826823212,79.7,3272304.47511501,3.27230447511501,#DIV/0!,#DIV/0!
"Upper Ray River",11,44,0,44,349,"Motyka et al 1983",Alaska,1.04139268515823,65.96,-150.92,1564816,2025056,6.1944632780597,98.9,20475793.7310415,20.4757937310415,993971.346704871,20.5999838918104
"Chief Shakes",7.83333333333333,50,5,45,2065,"Motyka et al 1983",Alaska,0.89394660755207,56.72,-132,1310986.66666667,1474860,6.11759827473925,66.3,22245248.8687783,22.2452488687783,119628.08716707,185.953394353878
Baranof,5,50,4.3,45.7,2681,"Motyka et al 1983",Alaska,0.69897000433602,57.09,-134.84,836800,956044,5.9226216715232,86.3,11078146.0023175,11.0781460023175,58813.8754196195,188.359395181464
Nylen,1.66666666666667,51,5.1,45.9,2063,"Motyka et al 1983",Alaska,0.22184874961636,57.63,-135.33,285906.666666667,320076,5.45622428219531,86.3,3708876.01390498,3.70887601390498,25477.4600096946,145.574794838013
"Egg Island",3.33333333333333,51,3.5,47.5,955,"Motyka et al 1983",Alaska,0.52287874528034,54.94,-162.91,571813.333333333,662466.666666667,5.75725427785929,71.9,9213722.7630969,9.21372276309689,110073.298429319,83.7053390292764
Hornor,8.33333333333333,48,0,48,389,"Motyka et al 1983",Alaska,0.92081875395238,64.92,-154.84,1324933.33333333,1673600,6.1221940264284,77.1,21706874.1893645,21.7068741893645,675578.406169666,32.1307993137853
"Granite Mountain",27.1666666666667,49,0,49,369,"Motyka et al 1983",Alaska,1.43403635402031,65.37,-161.2,4432948,5569601.33333333,6.64669263690603,72.9,76400566.9867398,76.4005669867398,2321756.09756098,32.9063707712448
"Cold Bay",11.6666666666667,54,3.7,50.3,942,"Motyka et al 1983",Alaska,1.06694678963061,55.22,-162.41,2147786.66666667,2455310.66666667,6.33199114197602,71.9,34148966.1566991,34.1489661566991,390573.248407643,87.4329368330359
Chuilnuk,9.16666666666667,51,0,51,526,"Motyka et al 1983",Alaska,0.9622114391106,61.36,-157.75,1572486.66666667,1956020,6.19658697168955,81,24148395.0617284,24.1483950617284,549581.74904943,43.9395869740872
"Bradfield Canal",0.66666666666667,57,5.5,51.5,2700,"Motyka et al 1983",Alaska,-0.17609125905568,56.23,-131.27,131098.666666667,143650.666666667,5.11759827473925,65.1,2206615.46338966,2.20661546338966,7786.66666666667,283.38383519559
Kilo,16.6666666666667,52,0,52,348,"Motyka et al 1983",Alaska,1.22184874961636,65.81,-151.24,2928800,3626133.33333333,6.46668971587347,98.9,36664644.4219751,36.6646444219751,1510344.82758621,24.2756778136364
Adak,0.5,57,4.6,52.4,1529,"Motyka et al 1983",Alaska,-0.30102999566398,51.99,-176.62,98324,109620.8,4.99265953813095,,,,10312.6226291694,0
"Lava Creek",6,53,0,53,401,"Motyka et al 1983",Alaska,0.77815125038364,65.23,-162.89,1079472,1330512,6.03321138182245,62.8,21186496.8152866,21.1864968152866,471860.349127182,44.8999303596416
Dulbai,0.33333333333333,55,0,55,385,"Motyka et al 1983",Alaska,-0.47712125471966,65.26,-155.28,62760,76706.6666666667,4.7976829349149,77.1,994898.400345871,0.99489840034587,27303.8961038961,36.4379646245396
Dall,7.16666666666667,55,0,55,312,"Motyka et al 1983",Alaska,0.85531720519594,66.22,-149.55,1349340,1649193.33333333,6.1301213948305,98.7,16709152.3134076,16.7091523134076,724384.615384615,23.0666857889242
"Lower Division",34.5,56,0,56,315,"Motyka et al 1983",Alaska,1.53781909507327,66.38,-156.74,6640008,8083488,6.82216860261407,74.8,108068021.390374,108.068021390374,3453942.85714286,31.2883061070007
"Reed River",2.66666666666667,57,0,57,326,"Motyka et al 1983",Alaska,0.42596873227228,67.27,-155.11,524394.666666667,635968,5.71965826606722,69.3,9177027.41702742,9.17702741702742,257963.190184049,35.5749493192416
Ishtalitna,5.83333333333333,58,0,58,339,"Motyka et al 1983",Alaska,0.76591679396663,65.87,-151.64,1171520,1415586.66666667,6.06874970720144,95,14900912.2807018,14.9009122807018,542654.867256637,27.4592806216454
Circle,25.6666666666667,58,0,58,227,"Motyka et al 1983",Alaska,1.40936947045282,65.48,-144.64,5154688,6228581.33333333,6.71220238368762,85.4,72934207.6502732,72.9342076502732,3565744.49339207,20.4541317487646
"False Pass",3.75,62,3.5,58.5,959,"Motyka et al 1983",Alaska,0.57403126772772,54.93,-163.24,815880,917865,5.91162628722174,71.9,12765855.3546592,12.7658553546592,123315.954118874,103.52152278977
