spring number,spring location,spring name,long,lat,type,well_depth,flow_rate_mean,flow_rate_min,flow_rate_max,temp_mean,temp_min,temp_max,reference,reference_DOI,reference_link,EC,pH,sample_temperature,TDS,TDS_min,TDS_max,Na,Ca,Mg,K,NH4,Cl,F,SO4,HCO3,CO3,NO3,Si,Li,SiO2,reference_hydrochemistry,doi_hydrochemistry,reference_link_hydrochemistry,delta_18O,delta_2H,3H,delta_14C,delta_13C,4He,3He,reference_isotope_data,DOI_isotope_data,reference_link_isotope_data
1,Euganei (Euganean geothermal area - Abano Terme,Bonato 1,11.78746667,45.34444444,well,269,,,,74.5,,,"Fabri et al. (2017) Monitoring, utilization and sustainable development of a low-temperature geothermal resource: A case study of the Euganean Geothermal Field (NE, Italy). Geothermics",https://doi.org/10.1016/j.geothermics.2017.07.002,https://www.sciencedirect.com/science/article/pii/S0375650517300135,,,,5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Euganei (Euganean geothermal area - Abano Terme,All' Alba,11.78746667,45.34444444,well,,,,,87,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,6.9,,5943,,,1630,407,72,101,n/a,2680,n/a,845,139,n/a,n/a,n/a,n/a,845,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy,-11,-83.1,,,,,,"Gherardi F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy
3,Euganei (Euganean geothermal area - Abano Terme,Toson,11.78746667,45.34444444,well,602,,,,71,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,7.3,,3748,,,867,336,64,56,n/a,1390,n/a,791,181,n/a,n/a,n/a,n/a,63,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy,-10.1,-71.5,,,,,,"Gherardi F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy
4,Euganei (Euganean geothermal area - Abano Terme,Bernabei,11.78746667,45.34444444,well,,,,,78,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,7.4,,5752,,,1530,417,65,76,n/a,2620,n/a,820,162,n/a,n/a,n/a,n/a,62,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy,-11,-82.1,,,,,,"Gherardi F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy
5,Euganei (Euganean geothermal area - Abano Terme,Espana,11.78746667,45.34444444,well,,,,,79,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,7.1,,3887,,,905,364,59,58,n/a,1440,n/a,840,156,n/a,n/a,n/a,n/a,65,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy,-10.2,-72,,,,,,"Gherardi F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy
6,Euganei (Euganean geothermal area - Abano Terme,Siesalunga,11.78746667,45.34444444,well,,,,,79,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,7,,5715,,,1570,405,67,78,n/a,2610,n/a,780,142,n/a,n/a,n/a,n/a,63,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy,-10.9,-82.3,,,,,,"Gherardi F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy
7,Euganei (Euganean geothermal area - Abano Terme,Rio d'oro,11.78746667,45.34444444,well,,,,,74,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,7.7,,4492,,,1140,256,65,62,n/a,1960,n/a,778,171,n/a,n/a,n/a,n/a,60,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy,-10.8,-78.1,,,,,,"Gherardi F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy
8,Euganei (Euganean geothermal area - Abano Terme,Hotel Aurora,11.78746667,45.34444444,well,,,,,84,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,6.3,,5437,,,1362,408,73,88,n/a,2450,n/a,862,125,n/a,n/a,n/a,n/a,69,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy,-11,-84.1,,,,,,"Gherardi F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy
9,Euganei (Euganean geothermal area - Abano Terme,Strada Pastore,11.78746667,45.34444444,well,,,,,63,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,7.2,,5152,,,1380,371,65,62,n/a,2260,n/a,768,200,n/a,n/a,n/a,n/a,46,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy,-10.7,-76.9,,,,,,"Gherardi F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy
10,Euganei (Euganean geothermal area - Abano Terme,Tacchetto,11.78746667,45.34444444,well,,,,,85,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,7,,5792,,,1550,419,63,78,n/a,2630,n/a,841,143,n/a,n/a,n/a,n/a,68,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy,-10.9,-78.9,,,,,,"Gherardi F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy
