spring number,spring location,spring name,long,lat,type,well_depth,flow_rate_mean,flow_rate_min,flow_rate_max,temp_mean,temp_min,temp_max,reference,reference_DOI,reference_link,EC,pH,sample_temperature,TDS,TDS_min,TDS_max,Na,Ca,Mg,K,NH4,Cl,F,SO4,HCO3,CO3,NO3,Si,Li,SiO2,reference_hydrochemistry,doi_hydrochemistry,reference_link_hydrochemistry,delta_18O,delta_2H,3H,delta_14C,delta_13C,4He,3He,reference_isotope_data,DOI_isotope_data,reference_link_isotope_data,temperature,flow_rate,log_flow_rate,log_temperature,geometry,recharge,lithology,gw_lvl_depth,gw_lvl_elev,surface_temp,elevation,contributing_area,log_contrib_area,geometry_ws,watershed_area,mean_recharge_ws,min_recharge_ws,max_recharge_ws,mean_gw_lvl_depth_ws,min_gw_lvl_depth_ws,max_gw_lvl_depth_ws,mean_gw_lvl_elev_ws,min_gw_lvl_elev_ws,max_gw_lvl_elev_ws,mean_surface_temp_ws,min_surface_temp_ws,max_surface_temp_ws,mean_elevation_ws,min_elevation_ws,max_elevation_ws,ws_relief
20,Euganei (Euganean geothermal area - Battaglia Terme),Fonte Le Bibite,11.77885556,45.28444444,spring,,,,,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9,,,1.6893088591236203,POINT (11.77885556 45.28444444),0.08047669739646204,1.0,3.2531089782714844,4.746891021728516,13.399999976158142,4.0,,,,171900000.0,0.0999584532245277,0.07444911900344629,0.13177547180496696,6.277167052010607,-0.0,151.03392028808594,8.324923380121161,-1.2428001165390015,248.3455352783203,13.241203695727044,12.262500080590447,13.524999879921475,17.040701522170746,0.0,464.0,464.0
31,Euganei (Euganean geothermal area - Cinto Euganeo),Bagno Nord,11.64996667,45.28694444,spring,,,,,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,,,1.5390760987927767,POINT (11.64996667 45.28694444),0.07736626089841898,6.0,3.2570505142211914,30.222103118896484,13.520833320915699,71.0,,,,141400000.0,0.07289543415862204,0.06842460741882511,0.07736626089841898,18.585751240834213,-0.0,220.7052001953125,43.61554814817568,7.0,458.495361328125,13.227688731646902,11.58333327776442,13.608333434909582,62.7446637132501,3.0,578.0,575.0
32,Euganei (Euganean geothermal area - Cinto Euganeo),Bagno Sud,11.6483,45.285,spring,,,,,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,,,1.481442628502305,POINT (11.6483 45.285),0.07736626089841898,1.0,3.2570505142211914,17.742950439453125,13.520833320915699,29.0,,,,141400000.0,0.07289543415862204,0.06842460741882511,0.07736626089841898,18.585751240834213,-0.0,220.7052001953125,43.61554814817568,7.0,458.495361328125,13.227688731646902,11.58333327776442,13.608333434909582,62.7446637132501,3.0,578.0,575.0
33,Euganei (Euganean geothermal area - Cinto Euganeo),Fattorelle,11.64552222,45.29583333,spring,,,,,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,,,1.3263358609287514,POINT (11.64552222 45.29583333),0.07736626089841898,7.0,13.895832061767578,23.104167938232422,13.433333387598395,44.0,,,,141400000.0,0.07289543415862204,0.06842460741882511,0.07736626089841898,18.585751240834213,-0.0,220.7052001953125,43.61554814817568,7.0,458.495361328125,13.227688731646902,11.58333327776442,13.608333434909582,62.7446637132501,3.0,578.0,575.0
45,Acqui (comment Jacek: general area?),23,8.45300523,44.6916766,springs and shallow wells,,0.0162,,,,45.0,73.0,,,,,,,,118.0,3372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,0.0162,-1.790484985457369,1.7708520116421442,POINT (8.45300523 44.6916766),0.29146294813996604,6.0,48.89618682861328,232.10382080078125,12.399999973674616,266.0,1754024.3906216722,6.24403562816272,,144800000.0,0.3653847615038556,0.29146294813996604,0.4393065748677452,36.54065483922654,-0.0,118.7523193359375,280.04232437458444,135.0,643.22705078125,12.349857554237685,11.012499943375587,12.916666659216085,318.42738425009895,131.0,733.0,602.0
66,Bormio - Central Italian Alps,Arciduchessa,10.359474,46.492436,spring,,0.006670000000000001,,,,36.0,39.0,,,,,7.9,39.2,,,,20.7,213.8,,3.03,,14.2,2.46,673.0,,,,,,,,,,,,,,,,,,,,37.5,0.006670000000000001,-2.175874166083451,1.5740312677277188,POINT (10.359474 46.492436),0.5501185658300547,1.0,13.351622581481934,1650.6484375,3.7791667093212404,1391.0,382625.13769627135,5.582773498896067,,242100000.0,0.4833225272786505,0.41506769722173703,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.2513597856814,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.620833343826234,6.879166623887916,2304.906896551724,1178.0,3317.0,2139.0
67,Bormio - Central Italian Alps,Zampillo dei Bambini,10.35926,46.49255,spring,,0.0025,,,,35.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,0.0025,-2.6020599913279625,1.5622928644564746,POINT (10.35926 46.49255),0.5501185658300547,1.0,13.351622581481934,1650.6484375,3.7791667093212404,1391.0,143412.72027596377,5.156587673651556,,242100000.0,0.4833225272786505,0.41506769722173703,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.2513597856814,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.620833343826234,6.879166623887916,2304.906896551724,1178.0,3317.0,2139.0
68,Bormio - Central Italian Alps,Cassiodora,10.35956,46.492495,spring,,0.00417,,,,39.0,43.0,,,,,7.8,40.5,,,,30.6,219.4,,7.28,,12.78,2.4,725.0,,,,,,,,,,-13.61,-101.5,3.9,,,,,,,,41.0,0.00417,-2.3798639450262424,1.6127838567197355,POINT (10.35956 46.492495),0.5501185658300547,1.0,13.351622581481934,1650.6484375,3.7791667093212404,1391.0,239212.41742030758,5.378783719953276,,242100000.0,0.4833225272786505,0.41506769722173703,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.2513597856814,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.620833343826234,6.879166623887916,2304.906896551724,1178.0,3317.0,2139.0
69,Bormio - Central Italian Alps,Cinglaccia,10.358343,46.492144,spring,,0.018000000000000002,,,42.0,37.0,,,,,,7.6,39.0,,,,21.44,223.4,,3.06,,14.2,2.55,690.0,,,,,,,,,,-13.97,-95.36,,,,,,,,,42.0,0.018000000000000002,-1.744727494896694,1.6232492903979006,POINT (10.358343 46.492144),0.5501185658300547,1.0,13.351622581481934,1650.6484375,3.7791667093212404,1347.0,1032571.5859869393,6.013920170082825,,242100000.0,0.4833225272786505,0.41506769722173703,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.2513597856814,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.620833343826234,6.879166623887916,2304.906896551724,1178.0,3317.0,2139.0
70,Bormio - Central Italian Alps,Nibelunghi,10.357372,46.49282,spring,,0.00067,,,,35.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,0.00067,-3.1739251972991736,1.5563025007672873,POINT (10.357372 46.49282),0.5501185658300547,1.0,110.08182525634766,1447.918212890625,4.487499934931596,1347.0,38434.60903395829,4.584722467680345,,242100000.0,0.4833225272786505,0.41506769722173703,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.2513597856814,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.620833343826234,6.879166623887916,2304.906896551724,1178.0,3317.0,2139.0
